library,download_month,country,system_name,python_version,downloads
plotly,2017-02,None,Linux,3,195.22799999999998
plotly,2017-07,CA,Linux,3,286.0
plotly,2017-11,AU,Linux,3,392.88300000000004
plotly,2018-06,None,Darwin,3,372.75699999999995
plotly,2018-10,CZ,Linux,3,388.784
plotly,2017-12,AU,Linux,3,286.855
plotly,2018-12,NL,Windows,3,488.22
plotly,2017-04,IN,Windows,3,283.094
plotly,2017-02,None,Darwin,3,206.955
plotly,2018-08,CN,Darwin,3,352.87199999999996
plotly,2017-01,None,Darwin,3,213.775
plotly,2017-04,AU,Linux,3,67.77
plotly,2018-11,JP,Darwin,3,432.135
plotly,2017-04,FR,Linux,3,160.225
plotly,2018-11,IT,Linux,3,362.84799999999996
plotly,2018-09,CH,Linux,3,344.892
plotly,2018-10,IN,Darwin,3,340.95599999999996
plotly,2017-05,CA,Linux,3,140.22
plotly,2018-01,AU,Linux,3,258.757
plotly,2017-03,CA,Linux,3,184.125
plotly,2018-04,RU,Windows,3,462.105
plotly,2017-04,SG,Linux,3,22.936
plotly,2017-05,NL,Linux,3,204.96
plotly,2017-11,KR,Linux,3,394.79200000000003
plotly,2017-10,CA,Linux,3,325.134
plotly,2018-08,TW,Windows,3,449.11
plotly,2018-08,CA,Darwin,3,394.79
plotly,2017-06,HK,Linux,3,34.848
plotly,2018-09,CN,Darwin,3,367.08
plotly,2018-08,AU,Windows,3,406.80800000000005
plotly,2018-12,BR,Linux,3,380.95200000000006
plotly,2017-04,KR,Linux,3,425.204
plotly,2017-07,NL,Linux,3,137.85299999999998
plotly,2018-10,KR,Windows,3,460.782
plotly,2017-01,DE,Linux,3,213.79600000000002
plotly,2018-08,KR,Windows,3,460.2
plotly,2017-03,IN,Windows,3,219.02300000000002
plotly,2018-08,RU,Windows,3,430.037
plotly,2018-11,IN,Darwin,3,308.035
plotly,2018-07,FR,Linux,3,354.9
plotly,2018-07,CA,Linux,3,374.09600000000006
plotly,2017-05,IN,Windows,3,256.056
plotly,2017-11,CA,Linux,3,266.04400000000004
plotly,2017-04,NL,Linux,3,202.03799999999998
plotly,2018-05,CA,Linux,3,324.0
plotly,2017-02,None,Windows,3,300.83
plotly,2018-06,IL,Linux,3,42.111999999999995
plotly,2018-09,TW,Windows,3,384.86699999999996
plotly,2018-11,CA,Darwin,3,369.222
plotly,2017-04,CN,Windows,3,272.223
plotly,2017-03,FR,Linux,3,250.98
plotly,2017-02,IN,Linux,3,89.0
plotly,2018-11,TW,Windows,3,419.1360000000001
plotly,2018-09,AU,Windows,3,392.93800000000005
plotly,2017-06,CN,Windows,3,271.215
plotly,2017-03,NL,Linux,3,168.96
plotly,2018-11,FR,Darwin,3,359.92
plotly,2018-11,ES,Windows,3,405.19699999999995
plotly,2017-11,GB,Windows,3,333.86800000000005
plotly,2018-11,AU,Windows,3,398.10699999999997
plotly,2018-12,ES,Linux,3,362.79
plotly,2018-08,FR,Windows,3,374.108
plotly,2017-09,NL,Linux,3,252.872
plotly,2017-07,SG,Linux,3,68.96
plotly,2018-10,CN,Darwin,3,330.14599999999996
plotly,2018-12,SE,Linux,3,297.99
plotly,2017-06,NL,Linux,3,157.136
plotly,2017-01,GB,Linux,3,232.17
plotly,2017-06,GB,Windows,3,322.908
plotly,2017-11,SE,Linux,3,109.98
plotly,2018-09,KR,Windows,3,400.9
plotly,2018-12,FR,Windows,3,391.194
plotly,2018-02,JP,Linux,3,330.906
plotly,2018-08,JP,Darwin,3,351.12
plotly,2018-11,SG,Windows,3,372.91
plotly,2017-05,CN,Windows,3,221.958
plotly,2018-02,KR,Linux,3,376.134
plotly,2017-05,KR,Linux,3,369.045
plotly,2018-12,GB,Darwin,3,326.18999999999994
plotly,2018-08,IL,Linux,3,185.05800000000002
plotly,2018-09,JP,Darwin,3,381.1
plotly,2018-06,EU,Linux,3,277.836
plotly,2018-12,RU,Windows,3,382.12
plotly,2017-01,None,Windows,3,282.9
plotly,2018-12,CA,Windows,3,367.2
plotly,2017-08,GB,Windows,3,310.08
plotly,2018-09,CA,Darwin,3,328.84799999999996
plotly,2018-12,JP,Windows,3,389.906
plotly,2018-10,JP,Darwin,3,353.97
plotly,2018-11,ZA,Linux,3,374.912
plotly,2018-09,NL,Windows,3,363.1960000000001
plotly,2018-09,DK,Linux,3,359.879
plotly,2017-10,SE,Linux,3,130.975
plotly,2017-02,GB,Windows,3,275.888
plotly,2018-06,FR,Linux,3,267.868
plotly,2017-10,IT,Linux,3,102.14400000000002
plotly,2018-12,CH,Linux,3,304.89599999999996
plotly,2017-02,IN,Windows,3,192.864
plotly,2018-09,DE,Darwin,3,331.03899999999993
plotly,2017-10,GB,Windows,3,291.0
plotly,2018-08,ZA,Linux,3,261.9
plotly,2018-04,CN,Linux,3,243.81
plotly,2018-02,AU,Linux,3,204.966
plotly,2018-11,TW,Linux,3,276.864
plotly,2017-12,BR,Linux,3,124.09199999999998
plotly,2018-10,ES,Windows,3,338.955
plotly,2018-10,DE,Darwin,3,299.847
plotly,2018-10,SG,Windows,3,312.156
plotly,2018-08,NL,Windows,3,338.16900000000004
plotly,2018-02,RU,Linux,3,259.875
plotly,2017-03,GB,Windows,3,225.148
plotly,2017-08,GB,Darwin,3,204.03100000000003
plotly,2017-08,CN,Linux,3,119.833
plotly,2018-08,DE,Darwin,3,304.14
plotly,2018-09,AT,Linux,3,166.05
